article,level,text,label,word_count,predicted_label,predicted_level,correct,length_group
Spain,Intermediate,"Valdevaqueros is one of the last unspoilt beaches in southern Spain. Currently the beach just has an access road filled with camper vans from Germany, France, Italy and Britain, which bring windsurfers and kitesurfers who are attracted by the strong winds in the area. For years it has been very different from the concrete-lined beaches of Torremolinos and Marbella along the coast, but earlier in 2012 the local council in Tarifa said ‘yes’ to plans to build a tourist complex next to the beach. Environmental and conservation groups have protested that the project will harm the habitats of protected species, but for most of the council the issue is simple: jobs. Tarifa has 18,000 inhabitants and 2,600 are unemployed as Spain experiences its worst economic crisis in at least half a century. “Traditional jobs such as fishing are dying out so tourism is the only solution, but it must be sustainable,” said Sebastián Galindo, a councillor from the Socialist party, which is in opposition in Tarifa but voted with the governing People’s Party support the project. Galindo says the complex meets environmental standards. There is a law that was designed to stop more ugly developments like those that spoilt a lot of Spain’s beaches when mass tourism first arrived in the 1960s and 1970s. This law says that the complex must be at least 200 metres from the coast; it will be much farther than that – it will be 800 metres. Opponents of the complex say more housing is not needed in a country that already has a million empty homes. The Socialist opposition in Madrid attacked the idea, and Galindo said it discriminated against migrant workers who came to Spain during the boom years, many of them from Morocco, whose coastline is just 14km away and can be seen from Tarifa. Surfers fear that new buildings in Valdevaqueros would reduce the strength of the famous local wind but fail to attract traditional package holidaymakers. “It’s not really a family spot. Just wait until they see what the wind is like,” said Henning Mayer, who has come here from Germany every year for 20 years. “Ten years ago they said they would build a new highway here. It didn’t happen, so I think it will be impossible to build new hotels.” At the southernmost point of Spain, Tarifa is where Africa and Europe meet, where the Mediterranean Sea meets the Atlantic. Campaigners say it also has a vital role for migrating animals. The campaign to save the beach was launched hours after the Tarifa council voted for the project. The campaign has a Facebook page and is supported by groups including Greenpeace, the World Wide Fund for Nature and the Spanish branch of conservation network Birdlife. Also joining the opposition to the project is the Andalusian College of Geographers, which says that the site would disturb two wildlife conservation areas and cross the border of a national park. “Money is once again more important than urban laws and European environmental directives,” said Raúl Romeva, a member of the European Parliament. In Romeva’s view, another problem with the project is that the site has too little water in a town that already suffers from shortages in the hot summer weather of Andalusía. Many locals are also wondering why a resort should be built 10km away, and not on wasteland near Tarifa’s picturesque old centre, with its typically Andalusian white walls and small streets, dominated by a 10th-century Moorish castle. “We agree with the complex as long as it creates jobs in the town, but we are against it if it only benefits a few,” said Cristóbal Lobato, who has worked at the same beachside bar in Tarifa for 30 years. “If they put it in the centre of Tarifa, where there is space, then clients could visit shops, tapas bars and restaurants.” Overlooking the green fields where the resort will be built, biologist Aitor Galán said, “Anywhere else in Europe, this place would have the utmost protection, but here they want to get rid of it all and cover it with buildings. What they want to do is turn this into Benidorm, but what attracts people here is wildlife and the wind. But by taking advantage of the current crisis and unemployment, builders and mayors who agree with them can justify any amount of destruction.”",1,725,2,Advanced,False,Long
Teff,Intermediate,"At Addis Ababa airport, visitors are greeted by pictures of golden grains, tiny red seeds and a group of men around a giant pancake. The words say: “Teff: the ultimate gluten-free crop!” Ethiopia is one of the world’s poorest countries, well known for its difficult food situation. But it is also the home of teff, a highly nutritious ancient grain that is now being sold in health-food shops and supermarkets in Europe and America. Teff’s tiny seeds – the size of poppy seeds – are high in calcium, iron and protein, and also amino acids. Naturally gluten free, the grain can be used instead of wheat flour in anything from bread and pasta to waffles and pizza bases. Like quinoa, the Andean grain, teff’s superb nutritional profile offers the promise of new and lucrative markets in the west. In Ethiopia, teff is a national obsession. Grown by around 6.3 million farmers, fields of the crop cover more than 20% of all farmland. It is ground into flour and used to make injera, the flatbread that is basic to Ethiopian cooking. The grain is also central to many religious and cultural ceremonies. Across the country, and in neighbouring Eritrea, people gather around large pieces of injera, which is also used as cutlery, scooping up stews and feeding one another as a sign of loyalty or friendship – a tradition known as gursha. The growing appetite for traditional crops and the booming health-food and gluten-free markets are breathing new life into the grain, which is increasingly being called Ethiopia’s “second gift to the world”, after coffee. Sophie Kebede, a London-based businesswoman who owns a UK company specializing in the grain, says she was “flabbergasted” when she discovered its nutritional value. “I didn’t know it was so sought after. I am of Ethiopian origin; I’ve been eating injera all my life.” Growing demand for so-called ancient grains has not always been a simple positive for poor communities. In Bolivia and Peru, there are reports of rising incomes from the now-global quinoa trade, but also malnutrition and conflicts over land, as farmers sell their entire crop to meet western demand. Ethiopia’s growing middle class is also increasing demand for teff and rising prices have made the grain too expensive for the poorest people. Today, most small farmers sell most of what they grow to people in the city. This may have helped boost incomes in some rural areas but it has had nutritional consequences, says the government, as teff is the most nutritionally valuable grain in the country. In urban areas, people eat up to 61kg of teff a year. In rural areas, the figure is 20kg. The type of teff people eat is different, too: the rich eat the more expensive magna and white teff varieties; poorer people usually eat less-valuable red and mixed teff and more than half combine it with cheaper cereals such as sorghum and maize. The Ethiopian government wants to double teff production by 2015. It says that the grain could play an important role in school meals and emergency aid programmes, and help reduce malnutrition – particularly among children and adolescents. Though Ethiopia has a fast-growing economy, it remains on the UN’s list of least-developed countries. An estimated 20% of under-fives are malnourished. The government’s Agricultural Transformation Agency aims to boost crops by developing improved varieties of the grain and introducing new planting techniques and tools. The government does not allow the export of raw teff grain, only of injera and other processed products. But this could change: the goal is to produce enough teff for Ethiopia and for export. Mama Fresh is a family company that has been selling injera to top restaurants and hotels in the Ethiopian capital for years. It also exports the flatbread to Finland, Germany, Sweden and the US, mostly for Ethiopians who live there. But, the company wants to double exports to America in 2014 and will soon start producing teff-based pizzas, bread and cookies. Regassa Feyissa, an Ethiopian agricultural scientist and former head of the National Institute for Biodiversity, warns that, without careful planning, increased teff production for export may mean that farmers do not grow other important crops. With not much Ethiopian teff on the international market, farmers in the US have started planting the crop. Farmers in Europe, Israel and Australia have also experimented with it.",1,727,2,Advanced,False,Long
WNL A good night sleep,Intermediate,"Sleep deprivation used to be a sign that you were busy and important and very much in demand. Sleep was for wimps. Now, however, Arianna Huffington’s The Sleep Revolution, a book that promises to completely change your life “one night at a time”, is a New York Times best-seller. Meanwhile, businesses have realized that they can make money from the sleep revolution. A whole range of businesses are reinventing where, when and how we sleep, as well as how much we’re prepared to pay for it. Luxury hotels are offering “sleep retreats”; more than $1,000 gets you dinner and a movie about sleep. And, if you’re staying home, you can upgrade your bedroom with everything from a mattress cover with a sensor that monitors your sleep ($249) to a sleeping mask that monitors your brainwaves and lets you nap more efficiently ($299). Sleep has not only become big business – it has made its way into corporations. A number of companies already have sleeping areas and Huffington predicts that nap rooms in offices are going to become “as common as conference rooms” in the next two years. So, how did this happen? How did sleep, something humans have done since long before Huffington, suddenly become so fashionable? Many people these days find it normal to pay $10 for green juice and $34 for an indoor cycle class. And getting enough sleep fits into this kind of lifestyle. Then, there’s wearable technology. Our bodies have become machines that we monitor and optimize for greater efficiency and sleep has become another data set to be monitored. What Huffington emphasizes about sleep, after all, is not that it rests you but that it restores you. Sleep, she says, is the ultimate performance enhancer and getting eight hours of rest has become the ultimate status symbol. You know how Arianna Huffington gets her eight hours? Well, she has “nine or so” assistants. Huffington calls them her “A-Team”. They do everything for her. They run her errands, plan her travel and load The Huffington Post on her computer in the morning. According to the New York Times, most of the A-Team can only survive about 12 months in the job because it’s so taxing. The low pay also means many of them take second jobs. Basically, they don’t sleep so that Huffington can … and can sell books about it. Getting enough sleep isn’t just a question of valuing sleep enough to go to bed at the right time; it’s a question of going to bed in the right neighbourhood and in the right body. Numerous studies show that you’re more likely to sleep badly if you’re poor. It’s hard to sleep if you’re worried about your safety or haven’t had enough to eat. It’s hard to sleep if you’re one of the 15 million American shift workers who work irregular hours. Research has also found that there’s a black/white sleep gap. One study shows that white people sleep an average of 6.85 hours but African Americans sleep an average of 6.05 hours. They also have a lower quality of sleep. Researchers say this is partly due to the stress of racism. Do you know who gets the most sleep and the best quality of sleep in America? Rich white women. Who are probably the same people Huffington wrote her book for. Huffington describes her promotion of sleep as a “revolution” but, really, it’s a rebranding. The very real sleep crisis isn’t that a few rich people think it’s a waste of time; the problem is the 99% who can’t afford to spend time sleeping. Sleep may be a performance enhancer but it’s an inefficient one. The real prize is finding a way to negate sleep deprivation so humans can work on less sleep. Unsurprisingly, the military is at the forefront of this research. In 2008, the Pentagon published a report called “Human Performance”. It examined the possibility of a future in which soldiers could perform at their peak with only a couple of hours’ sleep. “Imagine that you could make a human who slept for the same amount of time as a giraffe (1.9 hours per night). This would lead to a twofold decrease in the casualty rate. An enemy would need approximately 40% more soldiers to compensate for this advantage.” Eventually, humans will find a way to remove the need for sleep completely. Spending a third of your life unconscious won’t be a luxury anymore; it’ll be something only the poor will be forced to do. At that point, we may need a whole new sort of sleep revolution.",1,766,2,Advanced,False,Long
WNL Apple,Intermediate,"The brand and logo of Apple are the most valuable in the world. They are worth nearly $119bn, or more than the gross domestic product of Morocco, Ecuador or Oman. The brand value of the Silicon Valley firm, already the world’s biggest company, has increased by 21% in 12 months, according to the Interbrand Best Global Brands annual report. Apple, which is recognized all over the world by its simple “Apple with a bite missing” logo, led an increase of technology companies in the 2014 report, which has pushed more traditionally valuable brands – such as Coca-Cola, McDonald’s and Gillette – down the table. Google’s brand value rose by 15% to $107bn to take second place, followed by Coca-Cola, up 3% to $81.5bn, IBM ($72.2bn) and Microsoft ($45.5bn). Facebook is the biggest riser in the chart, increasing its brand value by 86% to $14.3bn and taking 29th place in the table, ahead of longstanding global corporate names such as Volkswagen, Kellogg’s and Ford. Jez Frampton, chief executive of Interbrand, said: “Benefitting immensely from the rise of digital and mobile technology, savvy brands like Apple grew stronger.” Apple, which former Chief Executive Steve Jobs founded in his Los Altos garage in 1976, only appeared in the top ten of the Interbrand annual study in 2011. Its logo, created by advertising executive Rob Janoff in 1977, was designed with a bite taken out of it to avoid confusion with a cherry. “Our logo is a symbol of lust and knowledge. It is an apple, bitten into, all crossed with the colours of the rainbow in the wrong order. You couldn’t dream of a more appropriate logo,” Janoff said. Graham Hayles, Interbrand’s chief marketing officer, said it was “not out of kilter” that Apple’s brand could account for a fifth of the company’s entire market value. “Apple makes a lot of money because it has a very strong brand,” he said. “There is a very strong connection between branding and profitability.” Many technology companies rose up the chart but some fell, too. Finnish mobile-phone company Nokia dropped 41 places to 98th at $4.1bn, just ahead of Nintendo in 100th place (down 33). “They’re both only just in the chart now,” Hayles said. “It shows the importance of getting innovation right.” A Chinese company has got into the top 100 for the first time, with mobile-phone and broadband firm Huawei entering the table in 94th place with a brand value of $4.3bn. Huawei has been partly banned by the US and Australian governments due to fears that its equipment could be used by the Chinese for cyber-espionage. Most of the brands in the top 100 are US-owned. The highest-placed non-US brands are South Korea’s Samsung (6th), Japan’s Toyota (8th) and Germany’s Mercedes-Benz (10th). The highest-placed British brands are HSBC (33rd), Shell (65th) and Burberry (73rd). Other fashion brands in the top 100 include Boss, Prada and Ralph Lauren. Designer label Louis Vuitton is the top fashion name, in 19th position, with a value of $23bn, just ahead of high-street clothing chain H&M, with a brand value of $21bn and ranked 21. Sports brand Nike is at place 22 with a brand value of nearly $20bn, ahead of its rival Adidas at place 59 with a value of $7bn. Frampton said consumers’ ability to interact with and criticize brands on Twitter and other social media means companies must react faster to keep and improve their brands’ reputations. “The customer, through the use of social media, now has more control than ever,” he said. “Customers expect interaction, responsiveness, 24/7 accessibility, customization options and high levels of personalization,” he said.",1,603,2,Advanced,False,Short
WNL Arctic Ramadan,Intermediate,"In the Arctic regions of Canada, the summer sun shines for more than 20 hours a day. For some, it’s a welcome change from the constant darkness of winter. But, for the small but growing Muslim community of Iqaluit, Nunavut, life in the land of the midnight sun is a real challenge during the month of Ramadan, when Muslims typically fast from sunrise to sunset. “I haven’t fainted once,” said 29-year-old Abdul Karim, one of the few in the area who has carefully timed his Ramadan fast to the Arctic sun since moving from Ottawa in 2011. This year, that means eating at about 1.30am before the sun rises and breaking his fast at about 11pm when the sun sets. “The only reason to stop would be if it hurts my health,” Karim said. It is nearly the end of Ramadan for Muslims around the world. Fasting is important but, during the holy month, in every Muslim community, there is also a focus on community work, prayer and reflection. But, in Iqaluit and the other Muslim communities in the Arctic, the long days have forced a change in how they fast. Most Muslims in Iqaluit follow the timetable followed by Muslims in Ottawa, about 1,300 miles south – this follows the advice of Muslim scholars who have said Muslims in the far north should observe Ramadan using the timetable of Mecca or the nearest Muslim city. It still means fasting for around 18 hours a day, said Atif Jilani, who moved to Iqaluit from Toronto. “The days are long, but it’s more manageable.” Many in the community of 100 people break their fast together – they gather in the city’s brand new mosque for nightly suppers. As they tuck into traditional food such as dates and goat or lamb curries, the sun shines brightly through the windows. It’s a similar situation across Canada’s most northern mosques during Ramadan, as Muslims deal with the country’s unique geography. In recent years, much of the community has chosen to follow the Ramadan timetable of Edmonton, in Alberta. Some follow the timings of Mecca, for example Awan, a father of two young children, including a 12-year-old who recently started fasting. He hopes to encourage his son with the more manageable timetable of about 15 hours of fasting compared with about 18 hours in Edmonton. “If I fast Edmonton times, my son might say, ‘Papa, you are really insane. What are you doing?’” he said. For the 100 or so Muslims in Inuvik, a small town 125 miles north of the Arctic Circle, it is impossible to follow the local movements of the sun. They have also been following Edmonton’s timetable. “We currently have 24 hours a day of sun,” said Ahmad Alkhalaf. “There’s no sunrise or sunset.” They were already following the Edmonton schedule in 2001 when he moved from Toronto to the small northern community of 3,500 people. “My first Ramadan here was in December. There’s no sun at that time; it’s dark all day and night. So we used Edmonton time.” At times, it can be difficult to follow the clock rather than what is happening outside, Alkhalaf said. “You’re supposed to break your fast when it’s dusk but we eat when the sun is up. It’s not usual to have iftar [the meal that breaks the fast] when the sun is up,” he said. In Inuvik, where most of the population is Inuit, the Muslim community has tried to strike a balance between Ramadan and the local culture and traditions. The iftar meal includes dates and curries – as well as local game such as reindeer. “We make a soup or curry, but instead of using beef, we use reindeer.” In Iqaluit, as the Muslim community prepares to mark the end of Ramadan, some reflect that 2016’s timing – stretching across some of the longest days of the year – has made it one of the more difficult of recent years. It’s particularly true for those like Karim who have followed the local sunrise and sunset carefully. But, his efforts will be rewarded in future years, said Karim, thanks to the lunar calendar. Ramadan will eventually fall during winter and, in Iqaluit, the sun will rise and set within a few hours each day. “I’ll follow those hours, too,” he said with a laugh. “Oh yes, definitely.”",1,726,2,Advanced,False,Long
WNL Bangladesh factory owners,Intermediate,"An international agreement to improve safety in Bangladesh’s clothing factories could face legal action because factory owners are demanding compensation for the cost of closures and repair work. Some repair programmes are expected to take months and factory owners say they cannot pay staff while factories are closed, as well as paying for major works needed to ensure that buildings are safe. The building repairs are happening in the wake of the collapse of the Rana Plaza complex in the capital of Bangladesh, Dhaka, in 2013, in which 1,138 people were killed. The problems come as hundreds of Bangladeshi clothing factories per month are inspected for firesafety and structural problems under the Accord on Fire and Building Safety in Bangladesh, which is supported by over 170 international brands, including Primark and Marks & Spencer, and international trade unions, including IndustriALL. The owner of one Dhaka-based factory, Softex Cotton, has said he will take legal action against the Accord because his factory was closed down due to structural problems. He is demanding $100m in compensation. Another factory owner said that, once a factory closed its doors, even for a few months, it would lose orders and close permanently: “There is no such thing as temporary closure,” he said. The factory owner said that the Accord agreement had “pussyfooted” around the issue of who paid for factory closures because they just wanted to get as many brands as possible to sign up to a deal in the wake of the Rana Plaza disaster. He said there was no clear process in place to pay the costs involved. Jenny Holdcroft, policy director for IndustriALL, which has been closely involved in the Accord, said that the agreement ensured that factories would not lose orders during closure because brands had committed to maintain orders with suppliers for two years. Twelve factories have been identified by the Accord as needing significant work so far, but Holdcroft said many of those only needed partial closure and production could continue on other floors. The Accord also legally requires brands to ensure that workers are paid during factory closures. She said the detail on who would make payments had been left open in order to ensure that all those factory owners who could afford to pay for repairs and compensation for workers made the necessary payments. “This was always going to be a topic of negotiation. Brands don’t want to commit to paying so that rich factory owners who have just pocketed the profits and not been spending on their factories for years continue to do so. There was obviously going to be disruption. If there was no disruption, there would be no change,” she said. A spokesman for the Accord said negotiations over payments and even legal action would not hold up its work to improve safety in factories. However, pressure on the Accord to contribute to the payment of displaced workers has increased after a rival factory-safety group, backed by US retailers including Walmart and Gap, the Alliance for Bangladesh Worker Safety, set aside $5m to help pay factory workers for up to two months while buildings are improved. It has, so far, identified five factories in four buildings where production needed to be suspended. “The Alliance is sharing the workers’ salary along with entrepreneurs so now there is a big confusion. We had a big meeting with the Accord to make them understand they have to come forward or how will we help our workers?” said Shaidullah Azim, a director of the Bangladeshi Garment Manufacturers and Exporters Association.",1,592,2,Advanced,False,Short
WNL Bright Future,Intermediate,"On the top of a hill, looking down on Northumberland’s beautiful Kielder Water reservoir, a group of people wait in a car park next to a strange wooden building. They are looking for darkness and this is Kielder Observatory, the centre of Britain’s latest industry – astrotourism. The people waiting outside are the lucky ones. Many more apply for a night of stargazing at the observatory but numbers are strictly limited. Inside, under a dim light, the observatory’s founder and lead astronomer, Gary Fildes, delivers a speech to his colleagues and volunteers. The team discusses the prospect of seeing the northern lights but Fildes is doubtful. Instead, they decide to use their powerful telescopes to observe Jupiter and Venus and, later, to pick out stars such as Capella and Betelgeuse. An additional attraction is the appearance of the International Space Station. Fildes, 49, is at the forefront of the UK’s growing astrotourism industry. The key moment for Northumberland came in 2013 when the entire national park, about 1,500 square kilometres in area, was awarded Dark Sky Park status, the only one in England. Dark Sky Parks are rare. The 2013 Star Count revealed that only 5% of the UK population can see more than 31 stars on a clear night. The Arizona-based International Dark-Sky Association (IDA) awards the status of Dark Sky Park only to places that take major steps to avoid light pollution. And those areas must also prove their night skies are dark enough. In Northumberland Dark Sky Park, as the area was renamed, it is so dark that Venus casts a shadow on the Earth. Duncan Wise, visitor development officer for the Northumberland National Park Authority, helped to lead the campaign for dark-sky status. “We tend to look at landscape as everything up to the horizon,” Wise said. “But what about what’s above it?” Wise and others spent years preparing their application to the IDA, collecting thousands of light readings and producing an exterior lighting master plan that influences the construction of new developments in the area. Their efforts have been rewarded. Many of the 1.5 million who visit Northumberland each year are now aware of its Dark Sky status. “We get a lot of people coming here to see the sky now,” says the man at the car-hire firm in Newcastle. “They come in autumn and winter, when it’s darkest. It’s good for the local hotels because they get business all year round now.” Local hotels now give guests night-vision torches and put out deckchairs at night. Wise agrees that Northumberland needs to do more to take advantage of its scarce resource. He believes the region needs a couple more observatories to ensure that visitors will see what they came for. A new £14m national landscape discovery centre will have an observatory when it is completed in a couple of years. Fildes has big ambitions. He is planning Britain’s first “astrovillage”, one that would contain the largest public observatory in the world and have a 100-seat auditorium, a 100-seat planetarium, a one-metre aperture telescope, and radiomagnetic and solar telescopes. The multimillion-pound project would also have a hotel and draw in 100,000 people a year, four times the number currently able to use the observatory. Fildes believes the astrovillage will be a reality by 2018. However, Northumberland has competition. Galloway Forest Park in Scotland also has Dark Sky Park status. Since Exmoor was designated Europe’s first International Dark Sky Reserve – one level below Dark Sky Park – in 2011, a range of local businesses offering stargazing breaks and safaris has sprung up. The UK has a long way to go to rival northern Chile, which has more than a dozen tourist observatories and some of the clearest skies in the world. The Teide National Park in Tenerife is also becoming a major astrotourism destination. So, why do people want to look up into the night sky? The media have helped. TV presenters like Brian Cox have attracted a new generation of stargazers. “Brian Cox has made astronomy accessible,” says Wise. “It’s no longer seen as something just for professors with telescopes.” Technology has also made astronomy more popular. Apps such as Stellarium now turn smartphones into pocket-size planetariums. But Fildes believes that, most importantly, people are starting to appreciate what lies above. “If you had to build a visitor attraction from scratch, what could be better than the universe?”",1,733,2,Advanced,False,Long
WNL Calais Migrants,Intermediate,"The roof is plastic and the desks are just old chairs, but the students inside the Chemin des Dunes school are studying hard and hoping for a new life in France. “The French language is very difficult but we try hard. If we come every day, maybe our dreams will come true,” says Kamal, a refugee from Sudan’s Darfur district who comes to three or four hours of classes every day. “It’s a good thing to keep your brain active.” The 29-year-old electrical engineer is one of dozens, perhaps hundreds, of refugees living in the “jungle” camp outside Calais who have applied for asylum in France and really want to learn the language of what they hope will be their new home. Like many of his fellow students, he is frustrated by the media coverage of the sprawling tentvillage. He says it focuses only on those people who use the village as a place to stay while they make risky attempts every night to sneak on board cross-Channel lorries or trains. “I want people in the UK to know that not everyone wants to go there. There are a lot of people here who want to stay in France,” Kamal said. France is already home to more than a quarter of a million refugees, according to United Nations data – this is more than twice as many as the UK, even though the countries have similar populations. There are also 56,000 asylum seekers waiting for permission to stay in France – the second highest number in Europe – while, in the UK, there are 36,000. But, while the applicants wait to hear if they can stay, France does not give them any financial support or allow them to work – and the slow process can take many months. The jungle camp offers a free meal a day and a plastic roof over their heads. Many decide to live in these basic conditions for a few extra months, rather than jeopardize their chance to stay in France by working illegally. The idea for the school was first suggested by some of the asylum seekers at the start of the summer, when they were bored with sitting around waiting and nervous about starting a new life in France totally unable to communicate. It opened within weeks, on 11 July. “We did it so people can learn French,” said Zimarco Jones, the school’s Nigerian founder, who arrived in Calais in 2013 and is still waiting to hear if he can stay. “Now, we need to build another one,” he says with a grin. The tiny classroom can hold 30 pupils, crammed into five rows of desks in front of a big green chalkboard and pictures of cartoon animals for each letter of the French alphabet. There are also classes in English, art and t’ai chi but the French lessons, given by volunteers from Calais and other towns, are the most popular. “French is not as easy as English but, two weeks ago, I decided there was no way to get to the UK,” says George, another Darfur refugee and student. He wanted to cross the Channel because he speaks fluent English but, with language classes, he says he is happy to settle in France. “Anywhere there is peace, I can stay, no problem,” he says. He is already waiting at the classroom more than half an hour before his teachers arrive. He admits he doesn’t know much about France but says that the classes are slowly helping him understand the country as well as the language. Many of the volunteers at the jungle school are local teachers who are giving up their summer holidays. Jenny Flahaut, 33, who works at a children’s home, volunteered after seeing an advertisement on Facebook. “I saw these people in Calais every day and I wanted to do something for them,” she said. She is angry about the depiction of migrants in the media and about politicians who have never visited the camp, most recently David Cameron, the British prime minister, who talked about “swarms” of people trying to reach the UK. “They don’t know them; they are not like that,” Flahaut said as she prepared for an afternoon lesson. “Most of them are very good people. They are welcoming and friendly. They want to improve their life and make it better, and learning is part of that.” The teachers and Zimarco are focused, now, on setting up a separate classroom for around 200 women and two dozen children. There are ten times more men than women in the Calais camp. Most feel uncomfortable going to classes with male students they don’t know, the volunteers say. Zimarco’s work starting the school is remembered in its unofficial name – everyone in the camp just calls it “Zimarco’s school”. After setting up the new classroom, Zimarco has more dreams for making the camp a place to live, not just survive. He wants to start a football team for migrants and even dreams of changing the camp name. He hates “the jungle” because he says it implies the residents aren’t people. “We have a discotheque, a house, a mosque, a school, shops,” he says. “We are not animals.”",1,867,0,Elementary,False,Long
WNL First high resolution images,Elementary,"For 85 years, it was just a grey blob on classroom maps of the solar system. But, on 15 July, we saw Pluto in high resolution for the first time. The images show dramatic mountains made from solid water ice as big as the Alps or the Rockies. The extraordinary images of the former ninth planet and its large moon, Charon, were sent four billion miles back to Earth from the New Horizons spacecraft. Alan Stern, the mission’s principal investigator, said “New Horizons is returning amazing results. The data look absolutely gorgeous, and Pluto and Charon are just mind-blowing.” John Spencer, a mission scientist, said that one of the biggest surprises was the discovery that “there are mountains in the Kuiper belt”. The Kuiper belt is the solar system’s mysterious “third zone” where Pluto is, with about 100,000 smaller icy objects. He said the mountains are around 3,000 metres high and several hundred miles across. Pluto used to be the ninth planet but, since 2006, it has been a dwarf planet. The NASA press conference began with spectacular images of the sun and the eight official planets. Stern said the images from New Horizons were just the beginning and that we would learn more about the planet soon. Scientists believe the mountains on Pluto are made from water ice with just a thin cover of methane and nitrogen. “Water ice is strong enough to hold up big mountains.” The images are the first to show ice mountains, except those found on the moons of giant planets. The images are so detailed that, if the spacecraft flew over London, we would be able to see the runways at Heathrow airport. It is five billion kilometres to Pluto. This means it takes New Horizons hours to send back a picture and it will take 16 months to send back all the data. The team also said that the heart-shaped area on Pluto will be called the Tombaugh Regio, after Clyde Tombaugh, who discovered the dwarf planet in 1930. The image of Charon shows an area of cliffs about 1,000km long. The image also shows a dramatic canyon 7 to 9km deep. Cathy Olkin, a mission scientist, said: “Charon just blew our socks off when we saw the new image. The team is so excited.” Pluto is two thirds rock surrounded by a lot of ice. The temperature is about minus 230C. The £460m spacecraft is continuing its journey into the Kuiper belt. Scientists hope that it will help us to see and understand more of the ancient solar system and the origins of planets. It may even help to explain how the Earth was made. Andrew Coates, the head of planetary science at the Mullard Space Science Laboratory, said: “It’s a really thrilling time for solar system exploration.” NASA says that the spacecraft will be able to keep recording and sending images until the mid- 2030s. Then its plutonium power source will run out and it will drift outwards towards the edge of the solar system and deep space beyond.”",0,508,1,Intermediate,False,Short
WNL First high resolution images,Intermediate,"For 85 years, it was just a grey blob on classroom maps of the solar system. But, on 15 July, Pluto was seen in high resolution for the first time. The images show dramatic mountain ranges made from solid water ice as big as the Alps or the Rockies. The extraordinary images of the former ninth planet and its large moon, Charon, were sent back 4bn miles to Earth from the New Horizons spacecraft. They are the climax of a mission that has been quietly underway for nearly ten years. Alan Stern, the mission’s principal investigator, said “New Horizons is returning amazing results. The data look absolutely gorgeous, and Pluto and Charon are just mind-blowing.” One of the biggest surprises was the discovery that “there are mountains in the Kuiper belt”, the solar system’s mysterious “third zone” where Pluto is, with about 100,000 smaller icy objects. John Spencer, a mission scientist, said the mountains appear to be around 3,000 metres high and several hundred miles across. The detailed image of one edge of the dwarf planet showed not a single crater. This tells scientists that there has been recent geological activity on the surface, which could include dramatic geysers throwing ice into the atmosphere or cryo-volcanoes that erupt in explosions of ice. Pluto used to be the ninth planet but, since 2006, it has been known as a dwarf planet. The NASA press conference began with spectacular images of the sun and the eight official planets. “We’ve brought what was previously a blurred point of light into focus,” said Dwayne Brown, NASA spokesman, as scientists and journalists waited for the image to be shown. Stern said that there would be many more images and that we would learn a lot more about the planet during the coming year. The images have already produced some surprises. Scientists believe the mountains are made from water ice with just a thin cover of “exotic” ices, methane and nitrogen. “Water ice is strong enough to hold up big mountains and that’s what we think we can see here. This is the first time we’ve seen this. The methane and nitrogen are just a coating.” The mountains on Pluto probably formed no more than 100m years ago – extremely recently in the 4.56bn-year-old solar system. This suggests the region, which covers about 1% of Pluto’s surface, may still be geologically active. The images are the first to show ice mountains, except those found on the moons of giant planets. The images are so detailed that, if the craft were flying over London, we would be able to see the runways at Heathrow airport. The distance to Pluto – 5bn km – means it takes New Horizons hours to send back a picture and it will take 16 months to send back all the data. The team also announced that the heart-shaped feature visible on Pluto will now be known as the Tombaugh Regio, after Clyde Tombaugh, who discovered the dwarf planet in 1930. The new view of Charon reveals an area of cliffs stretching about 1,000km. This suggests cracks in Charon’s surface, which could also be the result of geological activity. The image also shows a dramatic canyon about 7 to 9km deep. Cathy Olkin, a mission scientist, said: “Charon just blew our socks off when we saw the new image today. The team has just been abuzz. There is so much interesting science in this one image alone.” Scientists think that Pluto is two thirds rock surrounded by a lot of ice, with surface temperatures of about minus 230C. As the £460m mission continues into the Kuiper belt, scientists hope that it will help us to see and understand more of the ancient solar system and the origins of planets. It may even help to explain the formation of the Earth itself. Andrew Coates, head of planetary science at the Mullard Space Science Laboratory, said: “These Kuiper belt objects are the building blocks of the outer solar system. They’re all very cold – it’s like a cosmic deep freeze. It’s the best way of preserving solar system history. That is what is so fascinating about this. It’s a really thrilling time for solar system exploration.” In August 2015, mission scientists will choose which of two objects to visit next. NASA estimates that the spacecraft will be able to keep recording and sending back data until the mid-2030s. Then, its plutonium power source will run out and it will drift outwards towards the edge of the solar system and deep space. New Horizons also observed the smaller members of the Pluto system, which includes four other moons: Nix, Hydra, Styx and Kerberos. “New Horizons is a true mission of exploration, showing us why basic scientific research is so important,” said John Grunsfeld, associate administrator for NASA’s Science Mission Directorate. The images also suggest that Hydra’s surface is probably coated with water ice. Future images will reveal more clues about the formation of this, and the other moon, billions of years ago.”",1,836,2,Advanced,False,Long
